FileName,FilePath,BirthTime,AccessTime,WriteTime,,,,,
APznzabzdz_hlsthWuwQn07BL2duag1SGwicHwvSmj-EAfPaNKZInTVCO59IOV7l79W8MwgNTooQF37L6QCk4dNYvpxWOKwf6hKYvkfGfa-Qwru4UsMAmQ2f7drT4mAwityoU5WvjntxvktgqPqaobF6fZipy6KqJ2hmGpMKIaMAVRyXmJ3rMmBDH.pdf,C:\Users\gabee\Downloads\APznzabzdz_hlsthWuwQn07BL2duag1SGwicHwvSmj-EAfPaNKZInTVCO59IOV7l79W8MwgNTooQF37L6QCk4dNYvpxWOKwf6hKYvkfGfa-Qwru4UsMAmQ2f7drT4mAwityoU5WvjntxvktgqPqaobF6fZipy6KqJ2hmGpMKIaMAVRyXmJ3rMmBDH.pdf,3/28/2023 12:16,12/1/2023 11:55,3/28/2023 12:16,0,,,,
Arrays1.jpg,C:\Users\gabee\Downloads\Arrays1.jpg,11/13/2023 13:18,12/1/2023 11:55,11/13/2023 13:18,0,,,,
atlinc Payroll Financial Report for purchasing.zip,C:\Users\gabee\Downloads\atlinc Payroll Financial Report for purchasing.zip,6/5/2023 13:30,12/1/2023 11:55,6/5/2023 13:30,0,,,,
Baby 1.pdf,C:\Users\gabee\Downloads\Baby 1.pdf,3/28/2023 12:28,12/1/2023 11:55,3/28/2023 12:28,0,,,,
Baby 2.pdf,C:\Users\gabee\Downloads\Baby 2.pdf,3/28/2023 12:28,12/1/2023 11:55,3/28/2023 12:28,0,,,,
Baby 3.pdf,C:\Users\gabee\Downloads\Baby 3.pdf,3/28/2023 12:29,12/1/2023 11:55,3/28/2023 12:29,0,,,,
Baby 4.pdf,C:\Users\gabee\Downloads\Baby 4.pdf,3/28/2023 12:29,12/1/2023 11:55,3/28/2023 12:29,0,,,,
Baby 5.pdf,C:\Users\gabee\Downloads\Baby 5.pdf,3/28/2023 12:29,12/1/2023 11:55,3/28/2023 12:29,0,,,,
Baby 6.pdf,C:\Users\gabee\Downloads\Baby 6.pdf,3/28/2023 12:29,12/1/2023 11:55,3/28/2023 12:29,0,,,,
Baby Book Part 1.pdf,C:\Users\gabee\Downloads\Baby Book Part 1.pdf,3/28/2023 12:21,12/1/2023 11:55,3/28/2023 12:21,0,,,,
Baby Book Part 1a.pdf,C:\Users\gabee\Downloads\Baby Book Part 1a.pdf,3/28/2023 12:27,12/1/2023 11:55,3/28/2023 12:27,0,,,,
Baby Book Part 1b.pdf,C:\Users\gabee\Downloads\Baby Book Part 1b.pdf,3/28/2023 12:27,12/1/2023 11:55,3/28/2023 12:27,0,,,,
Baby Book Part 2.pdf,C:\Users\gabee\Downloads\Baby Book Part 2.pdf,3/28/2023 12:21,12/1/2023 11:55,3/28/2023 12:21,0,,,,
Binder1.pdf,C:\Users\gabee\Downloads\Binder1.pdf,5/8/2023 11:48,12/1/2023 11:55,5/8/2023 11:48,0,,,,
black_sharp.zip,C:\Users\gabee\Downloads\black_sharp.zip,3/24/2023 23:18,12/1/2023 11:55,3/24/2023 23:18,0,,,,
Caveat.zip,C:\Users\gabee\Downloads\Caveat.zip,3/24/2023 11:51,12/1/2023 11:55,3/24/2023 11:51,0,,,,
Chicago_Research_Paper_Template_17thed_with_appendix.docx,C:\Users\gabee\Downloads\Chicago_Research_Paper_Template_17thed_with_appendix.docx,4/18/2023 16:38,12/1/2023 11:55,4/18/2023 16:38,0,,,,
client side proj3.txt,C:\Users\gabee\Downloads\client side proj3.txt,10/17/2023 13:29,12/1/2023 11:55,10/17/2023 13:29,0,,,,
CME_export.pdf,C:\Users\gabee\Downloads\CME_export.pdf,9/27/2023 20:11,12/1/2023 11:55,9/27/2023 20:11,0,,,,
Comfortaa.zip,C:\Users\gabee\Downloads\Comfortaa.zip,3/24/2023 11:52,12/1/2023 11:55,3/24/2023 11:52,0,,,,
COS_SRS.pdf,C:\Users\gabee\Downloads\COS_SRS.pdf,9/23/2023 13:46,12/1/2023 11:55,9/23/2023 13:46,0,,,,
cutnell-physics-9th-c2012-solutions-ism_compress.pdf,C:\Users\gabee\Downloads\cutnell-physics-9th-c2012-solutions-ism_compress.pdf,9/6/2023 20:53,12/1/2023 11:55,9/6/2023 20:53,0,,,,
DaVinci_Resolve_18.6.3_Windows.zip,C:\Users\gabee\Downloads\DaVinci_Resolve_18.6.3_Windows.zip,11/15/2023 16:26,12/1/2023 11:55,11/15/2023 16:27,0,,,,
debian-12.1.0-amd64-netinst.iso,C:\Users\gabee\Downloads\debian-12.1.0-amd64-netinst.iso,9/5/2023 17:50,12/1/2023 11:55,9/5/2023 17:51,0,,,,
dodgebal.png,C:\Users\gabee\Downloads\dodgebal.png,4/3/2023 14:35,12/1/2023 11:55,4/3/2023 14:35,0,,,,
dodgeball rules.png,C:\Users\gabee\Downloads\dodgeball rules.png,4/3/2023 14:54,12/1/2023 11:55,4/3/2023 14:54,0,,,,
DOSBox0.74-3-win32-installer.exe,C:\Users\gabee\Downloads\DOSBox0.74-3-win32-installer.exe,8/31/2023 17:53,12/1/2023 11:55,8/31/2023 17:53,0,,,,
download.png,C:\Users\gabee\Downloads\download.png,4/24/2023 22:44,12/1/2023 11:55,4/24/2023 22:44,0,,,,
dp.py,C:\Users\gabee\Downloads\dp.py,11/20/2023 11:27,12/3/2023 12:33,11/20/2023 12:59,0,,,,
empty hw 10.pdf,C:\Users\gabee\Downloads\empty hw 10.pdf,4/24/2023 16:53,12/1/2023 11:55,4/24/2023 16:53,0,,,,
E_wOjzRYcdvRYZBx.mp4,C:\Users\gabee\Downloads\E_wOjzRYcdvRYZBx.mp4,7/1/2023 17:38,12/1/2023 11:55,7/1/2023 17:38,0,,,,
family 2 (1).drawio,C:\Users\gabee\Downloads\family 2 (1).drawio,4/23/2023 13:36,12/1/2023 11:55,4/23/2023 13:36,0,,,,
family 2 (2).drawio,C:\Users\gabee\Downloads\family 2 (2).drawio,4/23/2023 13:38,12/1/2023 11:55,4/23/2023 13:38,0,,,,
family 2 (3).drawio,C:\Users\gabee\Downloads\family 2 (3).drawio,4/24/2023 22:43,12/1/2023 11:55,4/24/2023 22:43,0,,,,
family 2.drawio,C:\Users\gabee\Downloads\family 2.drawio,4/23/2023 13:28,12/1/2023 11:55,4/23/2023 13:29,0,,,,
family org.drawio,C:\Users\gabee\Downloads\family org.drawio,4/23/2023 13:27,12/1/2023 11:55,4/23/2023 13:27,0,,,,
family tree.drawio,C:\Users\gabee\Downloads\family tree.drawio,4/23/2023 13:06,12/1/2023 11:55,4/23/2023 13:06,0,,,,
fdm_x64_setup.exe,C:\Users\gabee\Downloads\fdm_x64_setup.exe,6/2/2023 19:59,12/1/2023 11:55,6/2/2023 20:00,0,,,,
FlashpointInstaller.exe,C:\Users\gabee\Downloads\FlashpointInstaller.exe,10/9/2023 15:29,12/1/2023 11:55,10/9/2023 15:29,0,,,,
FortiClientVPNSetup_6.4.8.1755_x64.exe,C:\Users\gabee\Downloads\FortiClientVPNSetup_6.4.8.1755_x64.exe,9/9/2023 13:01,12/1/2023 11:55,9/9/2023 13:03,0,,,,
FrontSetup.exe,C:\Users\gabee\Downloads\FrontSetup.exe,6/2/2023 21:19,12/1/2023 11:55,6/2/2023 21:20,0,,,,
ftt.py,C:\Users\gabee\Downloads\ftt.py,4/29/2023 16:35,12/1/2023 11:55,4/29/2023 16:43,0,,,,
Gabe.pdf,C:\Users\gabee\Downloads\Gabe.pdf,3/29/2023 23:06,12/1/2023 11:55,3/29/2023 23:07,0,,,,
GABES RESUME.pdf,C:\Users\gabee\Downloads\GABES RESUME.pdf,10/22/2023 16:36,12/1/2023 11:55,10/22/2023 16:36,0,,,,
GABRIEL2SecondarySource.pdf,C:\Users\gabee\Downloads\GABRIEL2SecondarySource.pdf,5/8/2023 15:42,12/1/2023 11:55,5/8/2023 15:42,0,,,,
GABRIELsecondarysourceEDUCATIONALTECH.pdf,C:\Users\gabee\Downloads\GABRIELsecondarysourceEDUCATIONALTECH.pdf,5/8/2023 15:42,12/1/2023 11:55,5/8/2023 15:42,0,,,,
geoip2-4.7.0.tar.gz,C:\Users\gabee\Downloads\geoip2-4.7.0.tar.gz,10/28/2023 14:38,12/1/2023 11:55,10/28/2023 14:38,0,,,,
GeoLite2-City_20231027.tar.gz,C:\Users\gabee\Downloads\GeoLite2-City_20231027.tar.gz,10/28/2023 14:19,12/1/2023 11:55,10/28/2023 14:19,0,,,,
gew39-proj3-3.tar.gz,C:\Users\gabee\Downloads\gew39-proj3-3.tar.gz,11/1/2023 14:18,12/1/2023 11:55,11/1/2023 14:18,0,,,,
gew39-proj4-2.tar.gz,C:\Users\gabee\Downloads\gew39-proj4-2.tar.gz,11/10/2023 17:06,12/1/2023 11:55,11/10/2023 17:06,0,,,,
Git-2.42.0.2-64-bit.exe,C:\Users\gabee\Downloads\Git-2.42.0.2-64-bit.exe,9/4/2023 16:23,12/1/2023 11:55,9/4/2023 16:23,0,,,,
github-recovery-codes.txt,C:\Users\gabee\Downloads\github-recovery-codes.txt,11/29/2023 15:47,12/1/2023 11:55,11/29/2023 15:47,0,,,,
GitHubDesktopSetup-x64.exe,C:\Users\gabee\Downloads\GitHubDesktopSetup-x64.exe,4/19/2023 12:11,12/1/2023 11:55,4/19/2023 12:11,0,,,,
grey.jpg,C:\Users\gabee\Downloads\grey.jpg,9/18/2023 18:38,12/1/2023 11:55,9/18/2023 18:38,0,,,,
grundle.zip,C:\Users\gabee\Downloads\grundle.zip,3/24/2023 23:19,12/1/2023 11:55,3/24/2023 23:19,0,,,,
hat.png,C:\Users\gabee\Downloads\hat.png,9/23/2023 17:37,12/1/2023 11:55,9/23/2023 17:37,0,,,,
hawken old map.psd,C:\Users\gabee\Downloads\hawken old map.psd,4/12/2023 17:54,12/1/2023 11:55,4/12/2023 17:56,0,,,,
hlVyzjR-new-zealand-all-blacks-wallpaper.jpg,C:\Users\gabee\Downloads\hlVyzjR-new-zealand-all-blacks-wallpaper.jpg,3/23/2023 17:25,12/3/2023 12:12,3/23/2023 17:25,0,,,,
hlVyzjR.webp,C:\Users\gabee\Downloads\hlVyzjR.webp,3/23/2023 17:25,12/1/2023 11:55,3/23/2023 17:25,0,,,,
Homework 3.pdf,C:\Users\gabee\Downloads\Homework 3.pdf,4/27/2023 14:30,12/1/2023 11:55,4/27/2023 14:30,0,,,,
Homework 4.pdf,C:\Users\gabee\Downloads\Homework 4.pdf,5/8/2023 13:31,12/1/2023 11:55,5/8/2023 13:31,0,,,,
homework 6 problem 1.drawio,C:\Users\gabee\Downloads\homework 6 problem 1.drawio,4/13/2023 13:41,12/1/2023 11:55,4/13/2023 13:41,0,,,,
homework 6 problem 1.drawio.png,C:\Users\gabee\Downloads\homework 6 problem 1.drawio.png,4/13/2023 13:41,12/1/2023 11:55,4/13/2023 13:41,0,,,,
Homework_2.pdf,C:\Users\gabee\Downloads\Homework_2.pdf,3/26/2023 17:33,12/1/2023 11:55,3/26/2023 17:33,0,,,,
hoodie.png,C:\Users\gabee\Downloads\hoodie.png,9/23/2023 17:34,12/1/2023 11:55,9/23/2023 17:34,0,,,,
HW4_4gabe.pdf,C:\Users\gabee\Downloads\HW4_4gabe.pdf,4/29/2023 11:34,12/1/2023 11:55,4/29/2023 11:34,0,,,,
HW7A.pdf,C:\Users\gabee\Downloads\HW7A.pdf,3/29/2023 18:23,12/1/2023 11:55,3/29/2023 18:23,0,,,,
HW7Q.pdf,C:\Users\gabee\Downloads\HW7Q.pdf,3/28/2023 11:28,12/1/2023 11:55,3/28/2023 11:28,0,,,,
HW8QA.pdf,C:\Users\gabee\Downloads\HW8QA.pdf,4/9/2023 11:09,12/1/2023 11:55,4/9/2023 11:09,0,,,,
i-9-paper-version-.pdf,C:\Users\gabee\Downloads\i-9-paper-version-.pdf,6/12/2023 14:58,12/1/2023 11:55,6/12/2023 14:58,0,,,,
i9.pdf,C:\Users\gabee\Downloads\i9.pdf,6/12/2023 15:02,12/1/2023 11:55,6/12/2023 15:02,0,,,,
ICSI_color.gif,C:\Users\gabee\Downloads\ICSI_color.gif,9/21/2023 15:25,12/3/2023 12:33,9/21/2023 15:25,0,,,,
ijerph-18-01199-v2.pdf,C:\Users\gabee\Downloads\ijerph-18-01199-v2.pdf,5/8/2023 16:28,12/1/2023 11:55,5/8/2023 16:28,0,,,,
jorr-main.zip,C:\Users\gabee\Downloads\jorr-main.zip,11/27/2023 19:21,12/1/2023 11:55,11/27/2023 19:21,0,,,,
kali-linux-2023.2a-installer-amd64.iso,C:\Users\gabee\Downloads\kali-linux-2023.2a-installer-amd64.iso,6/2/2023 16:43,12/1/2023 11:55,6/2/2023 16:45,0,,,,
Lab_6__RKE.pdf,C:\Users\gabee\Downloads\Lab_6__RKE.pdf,10/31/2023 11:08,12/1/2023 11:55,10/31/2023 11:08,0,,,,
long sleeve.png,C:\Users\gabee\Downloads\long sleeve.png,9/23/2023 17:34,12/1/2023 11:55,9/23/2023 17:34,0,,,,
martellas_script.zip,C:\Users\gabee\Downloads\martellas_script.zip,3/24/2023 23:18,12/1/2023 11:55,3/24/2023 23:18,0,,,,
Math_201_exam1_review (1).pdf,C:\Users\gabee\Downloads\Math_201_exam1_review (1).pdf,5/8/2023 11:46,12/1/2023 11:55,5/8/2023 11:46,0,,,,
Math_201_exam2_review.pdf,C:\Users\gabee\Downloads\Math_201_exam2_review.pdf,5/8/2023 11:46,12/1/2023 11:55,5/8/2023 11:46,0,,,,
Math_201_exam3_review.pdf,C:\Users\gabee\Downloads\Math_201_exam3_review.pdf,5/8/2023 11:46,12/1/2023 11:55,5/8/2023 11:46,0,,,,
Math_201_final_review.pdf,C:\Users\gabee\Downloads\Math_201_final_review.pdf,5/8/2023 11:46,12/1/2023 11:55,5/8/2023 11:46,0,,,,
MediaCreationTool22H2.exe,C:\Users\gabee\Downloads\MediaCreationTool22H2.exe,6/6/2023 10:01,12/2/2023 3:46,6/6/2023 10:01,0,,,,
Memory.pdf,C:\Users\gabee\Downloads\Memory.pdf,11/9/2023 17:33,12/1/2023 11:55,11/9/2023 17:33,0,,,,
MinecraftInstaller.exe,C:\Users\gabee\Downloads\MinecraftInstaller.exe,10/15/2023 13:20,12/1/2023 11:55,10/15/2023 13:20,0,,,,
"Moshe_Dayan,_Chief_of_General_Staff.jpg","C:\Users\gabee\Downloads\Moshe_Dayan,_Chief_of_General_Staff.jpg",11/24/2023 17:49,12/1/2023 11:55,11/24/2023 17:49,0,,,,
msys2-x86_64-20230526.exe,C:\Users\gabee\Downloads\msys2-x86_64-20230526.exe,9/11/2023 13:48,12/1/2023 11:55,9/11/2023 13:48,0,,,,
mutli device multi function attack (1).drawio,C:\Users\gabee\Downloads\mutli device multi function attack (1).drawio,11/12/2023 18:56,12/1/2023 11:55,11/12/2023 18:56,0,,,,
mutli device multi function attack (2).drawio,C:\Users\gabee\Downloads\mutli device multi function attack (2).drawio,11/12/2023 18:59,12/1/2023 11:55,11/12/2023 18:59,0,,,,
mutli device multi function attack (3).drawio,C:\Users\gabee\Downloads\mutli device multi function attack (3).drawio,11/12/2023 18:59,12/1/2023 11:55,11/12/2023 18:59,0,,,,
mutli device multi function attack.drawio,C:\Users\gabee\Downloads\mutli device multi function attack.drawio,11/12/2023 18:53,12/1/2023 11:55,11/12/2023 18:53,0,,,,
mutli device multi function attack.drawio (1).png,C:\Users\gabee\Downloads\mutli device multi function attack.drawio (1).png,11/12/2023 18:59,12/1/2023 11:55,11/12/2023 18:59,0,,,,
mutli device multi function attack.drawio (2).png,C:\Users\gabee\Downloads\mutli device multi function attack.drawio (2).png,11/12/2023 18:59,12/1/2023 11:55,11/12/2023 18:59,0,,,,
mutli device multi function attack.drawio.png,C:\Users\gabee\Downloads\mutli device multi function attack.drawio.png,11/12/2023 18:56,12/1/2023 11:55,11/12/2023 18:56,0,,,,
node-v20.9.0-x64.msi,C:\Users\gabee\Downloads\node-v20.9.0-x64.msi,10/24/2023 14:26,12/1/2023 11:55,10/24/2023 14:27,0,,,,
NordVPNSetup.exe,C:\Users\gabee\Downloads\NordVPNSetup.exe,10/13/2023 17:53,12/1/2023 11:55,10/13/2023 17:53,0,,,,
npp.8.5.3.Installer.x64.exe,C:\Users\gabee\Downloads\npp.8.5.3.Installer.x64.exe,6/2/2023 16:37,12/1/2023 11:55,6/2/2023 16:37,0,,,,
nvm-setup.exe,C:\Users\gabee\Downloads\nvm-setup.exe,10/24/2023 14:13,12/1/2023 11:55,10/24/2023 14:13,0,,,,
OBS-Studio-30.0-Full-Installer-x64.exe,C:\Users\gabee\Downloads\OBS-Studio-30.0-Full-Installer-x64.exe,11/17/2023 12:08,12/2/2023 21:20,11/17/2023 12:09,0,,,,
OfficeSetup.exe,C:\Users\gabee\Downloads\OfficeSetup.exe,3/23/2023 17:24,12/2/2023 3:46,3/23/2023 17:24,0,,,,
os a2 diagram 1.drawio,C:\Users\gabee\Downloads\os a2 diagram 1.drawio,10/8/2023 12:37,12/1/2023 11:55,10/8/2023 12:38,0,,,,
os a2 diagram 1.drawio.png,C:\Users\gabee\Downloads\os a2 diagram 1.drawio.png,10/8/2023 12:38,12/1/2023 11:55,10/8/2023 12:38,0,,,,
os class diagram.drawio,C:\Users\gabee\Downloads\os class diagram.drawio,12/1/2023 12:23,12/1/2023 12:23,12/1/2023 12:23,0,,,,
os video triangle.drawio,C:\Users\gabee\Downloads\os video triangle.drawio,11/17/2023 13:12,12/1/2023 11:55,11/17/2023 13:15,0,,,,
p4-all-samples-v3.tar.gz,C:\Users\gabee\Downloads\p4-all-samples-v3.tar.gz,10/25/2023 11:37,12/1/2023 11:55,10/25/2023 11:37,0,,,,
person.jpg,C:\Users\gabee\Downloads\person.jpg,10/30/2023 16:10,12/1/2023 11:55,10/30/2023 16:10,0,,,,
person.png,C:\Users\gabee\Downloads\person.png,10/30/2023 16:11,12/1/2023 11:55,10/30/2023 16:11,0,,,,
Picture1.jpg,C:\Users\gabee\Downloads\Picture1.jpg,9/17/2023 13:34,12/1/2023 11:55,9/17/2023 13:34,0,,,,
problem 4 or whatever.drawio,C:\Users\gabee\Downloads\problem 4 or whatever.drawio,4/29/2023 12:32,12/1/2023 11:55,4/29/2023 12:33,0,,,,
proj3,C:\Users\gabee\Downloads\proj3,10/16/2023 15:00,12/1/2023 11:55,10/17/2023 13:16,1,,,,
proj3.c,C:\Users\gabee\Downloads\proj3.c,10/16/2023 14:59,12/1/2023 11:55,10/17/2023 13:16,1,,,,
python-3.11.3-amd64.exe,C:\Users\gabee\Downloads\python-3.11.3-amd64.exe,4/19/2023 12:17,12/1/2023 11:55,4/19/2023 12:17,0,,,,
qrcode.png,C:\Users\gabee\Downloads\qrcode.png,3/25/2023 14:13,12/1/2023 11:55,3/25/2023 14:13,0,,,,
recovery-codes.txt,C:\Users\gabee\Downloads\recovery-codes.txt,7/10/2023 14:12,12/1/2023 11:55,7/10/2023 14:12,0,,,,
remove lady 1.png,C:\Users\gabee\Downloads\remove lady 1.png,6/5/2023 12:53,12/1/2023 11:55,6/5/2023 12:53,0,,,,
rennie in movie.psd,C:\Users\gabee\Downloads\rennie in movie.psd,4/15/2023 15:40,12/1/2023 11:55,4/15/2023 15:40,0,,,,
Research Paper Paper Draft 5.docx,C:\Users\gabee\Downloads\Research Paper Paper Draft 5.docx,9/1/2023 12:04,12/1/2023 11:55,9/1/2023 12:04,0,,,,
Resume.pdf,C:\Users\gabee\Downloads\Resume.pdf,10/22/2023 16:37,12/1/2023 11:55,10/22/2023 16:37,0,,,,
RugbyFall2018.mov,C:\Users\gabee\Downloads\RugbyFall2018.mov,4/25/2023 12:12,12/1/2023 11:55,4/25/2023 12:13,0,,,,
SECOND FAMILY TREE.drawio,C:\Users\gabee\Downloads\SECOND FAMILY TREE.drawio,4/30/2023 15:46,12/1/2023 11:55,4/30/2023 15:46,0,,,,
Sectional Paper Draft 1.docx,C:\Users\gabee\Downloads\Sectional Paper Draft 1.docx,4/18/2023 17:48,12/1/2023 11:55,4/18/2023 17:48,0,,,,
sers2 (1).drawio,C:\Users\gabee\Downloads\sers2 (1).drawio,9/24/2023 20:18,12/1/2023 11:55,9/24/2023 20:18,0,,,,
sers2 (2).drawio,C:\Users\gabee\Downloads\sers2 (2).drawio,9/24/2023 20:20,12/1/2023 11:55,9/24/2023 20:20,0,,,,
sers2.drawio,C:\Users\gabee\Downloads\sers2.drawio,9/24/2023 20:15,12/1/2023 11:55,9/24/2023 20:15,0,,,,
sers2.drawio (1).png,C:\Users\gabee\Downloads\sers2.drawio (1).png,9/24/2023 20:21,12/1/2023 11:55,9/24/2023 20:21,0,,,,
sers2.drawio.png,C:\Users\gabee\Downloads\sers2.drawio.png,9/24/2023 20:20,12/1/2023 11:55,9/24/2023 20:20,0,,,,
server side proj3.txt,C:\Users\gabee\Downloads\server side proj3.txt,10/17/2023 13:29,12/1/2023 11:55,10/17/2023 13:29,0,,,,
server vs client remote (1).drawio,C:\Users\gabee\Downloads\server vs client remote (1).drawio,11/17/2023 14:34,12/1/2023 11:55,11/17/2023 14:34,0,,,,
server vs client remote (2).drawio,C:\Users\gabee\Downloads\server vs client remote (2).drawio,11/17/2023 14:39,12/1/2023 11:55,11/17/2023 14:39,0,,,,
server vs client remote.drawio,C:\Users\gabee\Downloads\server vs client remote.drawio,11/17/2023 14:23,12/1/2023 11:55,11/17/2023 14:23,0,,,,
server vs client remote.drawio.png,C:\Users\gabee\Downloads\server vs client remote.drawio.png,11/17/2023 14:39,12/1/2023 11:55,11/17/2023 14:39,0,,,,
setup-x86_64.exe,C:\Users\gabee\Downloads\setup-x86_64.exe,9/11/2023 13:27,12/1/2023 11:55,9/11/2023 13:27,0,,,,
signal-2023-11-18-203243_002.mp4,C:\Users\gabee\Downloads\signal-2023-11-18-203243_002.mp4,11/24/2023 16:24,12/1/2023 11:55,11/24/2023 16:24,0,,,,
SignalSetup.exe,C:\Users\gabee\Downloads\SignalSetup.exe,8/25/2023 12:47,12/1/2023 11:55,8/25/2023 12:47,0,,,,
SlackSetup.exe,C:\Users\gabee\Downloads\SlackSetup.exe,6/5/2023 11:38,12/1/2023 11:55,6/5/2023 11:39,0,,,,
Software Inspections.md,C:\Users\gabee\Downloads\Software Inspections.md,10/4/2023 15:28,12/3/2023 12:33,10/4/2023 15:28,0,,,,
srs 1.drawio,C:\Users\gabee\Downloads\srs 1.drawio,9/24/2023 19:47,12/1/2023 11:55,9/24/2023 19:47,0,,,,
srs 1.drawio (1).png,C:\Users\gabee\Downloads\srs 1.drawio (1).png,9/24/2023 19:48,12/1/2023 11:55,9/24/2023 19:48,0,,,,
srs 1.drawio.png,C:\Users\gabee\Downloads\srs 1.drawio.png,9/24/2023 19:45,12/1/2023 11:55,9/24/2023 19:45,0,,,,
srs 2.drawio,C:\Users\gabee\Downloads\srs 2.drawio,9/24/2023 20:07,12/1/2023 11:55,9/24/2023 20:07,0,,,,
stateChart.html,C:\Users\gabee\Downloads\stateChart.html,9/27/2023 15:24,12/3/2023 12:33,9/27/2023 15:25,0,,,,
sweats.png,C:\Users\gabee\Downloads\sweats.png,9/23/2023 17:34,12/1/2023 11:55,9/23/2023 17:34,0,,,,
t shirt.png,C:\Users\gabee\Downloads\t shirt.png,9/23/2023 17:36,12/1/2023 11:55,9/23/2023 17:36,0,,,,
TeamsSetup_c_w_.exe,C:\Users\gabee\Downloads\TeamsSetup_c_w_.exe,4/27/2023 14:50,12/1/2023 11:55,4/27/2023 14:50,0,,,,
Teams_windows_x64.exe,C:\Users\gabee\Downloads\Teams_windows_x64.exe,4/27/2023 14:48,12/1/2023 11:55,4/27/2023 14:48,0,,,,
ted.psd,C:\Users\gabee\Downloads\ted.psd,9/27/2023 20:12,12/1/2023 11:55,9/27/2023 20:12,0,,,,
TedNet-main.zip,C:\Users\gabee\Downloads\TedNet-main.zip,11/29/2023 15:51,12/1/2023 11:55,11/29/2023 15:51,0,,,,
test_suite.tar.gz,C:\Users\gabee\Downloads\test_suite.tar.gz,10/2/2023 12:25,12/1/2023 11:55,10/17/2023 17:14,15,,,,
the_beach.zip,C:\Users\gabee\Downloads\the_beach.zip,3/24/2023 22:42,12/1/2023 11:55,3/24/2023 22:42,0,,,,
thing.png,C:\Users\gabee\Downloads\thing.png,10/3/2023 12:12,12/1/2023 11:55,10/3/2023 12:12,0,,,,
timeline of function (1).drawio,C:\Users\gabee\Downloads\timeline of function (1).drawio,11/9/2023 13:35,12/1/2023 11:55,11/9/2023 13:35,0,,,,
timeline of function.drawio,C:\Users\gabee\Downloads\timeline of function.drawio,11/9/2023 13:23,12/1/2023 11:55,11/9/2023 13:23,0,,,,
timeline of function.drawio.png,C:\Users\gabee\Downloads\timeline of function.drawio.png,11/9/2023 13:36,12/1/2023 11:55,11/9/2023 13:36,0,,,,
TINspireCXCASStudentSoftware-5.4.0.259.exe,C:\Users\gabee\Downloads\TINspireCXCASStudentSoftware-5.4.0.259.exe,3/26/2023 17:11,12/1/2023 11:55,3/26/2023 17:11,0,,,,
TINspireCXStudentSoftware-5.4.0.259.exe,C:\Users\gabee\Downloads\TINspireCXStudentSoftware-5.4.0.259.exe,3/26/2023 16:48,12/1/2023 11:56,3/26/2023 16:48,0,,,,
tor figure 3.drawio,C:\Users\gabee\Downloads\tor figure 3.drawio,11/9/2023 12:08,12/1/2023 11:56,11/9/2023 12:08,0,,,,
tor figure 3.drawio.png,C:\Users\gabee\Downloads\tor figure 3.drawio.png,11/9/2023 12:08,12/1/2023 11:56,11/9/2023 12:08,0,,,,
